nome_area,tipo,total_desmatado_km2
Área De Proteção Ambiental Triunfo Do Xingu,Unidade de Conservação,4372.5599999999995
Floresta Nacional Do Jamanxim,Unidade de Conservação,1178.2900000000002
Reserva Extrativista Jaci-Paraná,Unidade de Conservação,1117.8100000000002
Floresta Nacional Do Tapajós,Unidade de Conservação,731.5
Reserva Extrativista Chico Mendes,Unidade de Conservação,549.91
Apyterewa,Área Indígena,485.48
Cachoeira Seca,Área Indígena,437.37
Área De Proteção Ambiental Do Lago De Tucurui,Unidade de Conservação,332.13000000000005
Ituna/Itatá,Área Indígena,240.96
Parque Estadual De Guajará-Mirim,Unidade de Conservação,233.70000000000002
